molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL4591654,Nc1ncc(N2CCN(c3cccc(-c4ccncc4)c3)CC2)c(N)n1,468.0,Active,347.42600000000016,2.0296,2,7,6.329754146925876
CHEMBL4461133,Nc1ncc(N2CCN(c3cccc(-c4cccnc4)c3)CC2)c(N)n1,300.0,Active,347.42600000000016,2.0296,2,7,6.522878745280337
CHEMBL4519642,Nc1ncc(N2CCN(c3cccc(-c4ccccn4)c3)CC2)c(N)n1,1360.0,Intermediate,347.42600000000016,2.0296,2,7,5.866461091629782
CHEMBL4582435,CCc1nc(N)nc(N)c1N1CCN(c2cccc(-c3ccccc3)c2)CC1,200.0,Active,374.4920000000002,3.197000000000002,2,6,6.698970004336019
CHEMBL4459877,Cc1nc(N)nc(N)c1N1CCN(c2cccc(-c3ccccc3)c2)CC1,237.0,Active,360.4650000000001,2.9430200000000006,2,6,6.6252516539898965
CHEMBL4435247,Nc1ncc(N2CCN(c3cccc(C4CC4)c3)CC2)c(N)n1,1630.0,Intermediate,310.4050000000001,1.845,2,6,5.787812395596042
CHEMBL4439025,Nc1ncc(N2CCN(c3cccc(OC(F)(F)F)c3)CC2)c(N)n1,819.0,Active,354.3360000000001,1.8662,2,7,6.086716098239582
CHEMBL4535103,Nc1ncc(N2CCN(c3cccc(C(F)(F)F)c3)CC2)c(N)n1,541.0,Active,338.3370000000001,1.9864,2,6,6.266802734893431
CHEMBL4546142,COc1cccc(N2CCN(c3cnc(N)nc3N)CC2)c1,2710.0,Intermediate,300.3660000000001,0.9762,2,7,5.567030709125595
CHEMBL4456834,Nc1ncc(N2CCN(c3ccc(Cl)cc3)CC2)c(N)n1,1090.0,Intermediate,304.7850000000001,1.621,2,6,5.962573502059376
CHEMBL4544894,Nc1ncc(N2CCN(c3cccc(Cl)c3)CC2)c(N)n1,1540.0,Intermediate,304.7850000000001,1.621,2,6,5.8124792791635365
CHEMBL4463544,Nc1ncc(N2CCN(c3ccccc3Cl)CC2)c(N)n1,30000.0,Inactive,304.7850000000001,1.621,2,6,4.522878745280337
CHEMBL4525462,Cc1ccc(N2CCN(c3cnc(N)nc3N)CC2)cc1,3260.0,Intermediate,284.3670000000001,1.2760199999999997,2,6,5.486782399932061
CHEMBL4549054,Cc1cccc(N2CCN(c3cnc(N)nc3N)CC2)c1,5980.0,Intermediate,284.3670000000001,1.27602,2,6,5.223298816011589
CHEMBL4569184,Cc1ccccc1N1CCN(c2cnc(N)nc2N)CC1,30000.0,Inactive,284.3670000000001,1.2760200000000002,2,6,4.522878745280337
CHEMBL4552468,Nc1ncc(N2CCN(c3ccc(-c4ccccc4)cc3)CC2)c(N)n1,347.0,Active,346.43800000000016,2.6346,2,6,6.459670525209126
CHEMBL4544467,Nc1ncc(N2CCN(c3ccccc3-c3ccccc3)CC2)c(N)n1,1790.0,Intermediate,346.43800000000016,2.6346,2,6,5.747146969020107
CHEMBL4553229,Nc1ncc(N2CCN(c3ccccc3)CC2)c(N)n1,12500.0,Inactive,270.34000000000003,0.9676,2,6,4.903089986991944
CHEMBL4464764,O=c1c(O)c(-c2cccc(O)c2)oc2ccc(O)cc12,50000.0,Inactive,270.24,2.5768000000000004,3,5,4.301029995663981
CHEMBL4544311,CC(=O)c1c(C)n(Cc2ccccc2)c2ccc(OCc3cn(-c4ccc(Br)cc4)nn3)cc12,125000.0,Inactive,515.4110000000002,6.122820000000004,0,6,3.903089986991944
CHEMBL4578986,CC(=O)c1c(C)n(Cc2ccccc2)c2ccc(OCc3cn(-c4cccc(Cl)c4)nn3)cc12,180000.0,Inactive,470.9600000000002,6.013720000000004,0,6,3.744727494896694
